Test Number,Date,Series,Ground,Result
351,13/02/1959,1958-1959 Australia v. England,Melbourne Cricket Ground,Australia won by 9 wickets
352,27/02/1959,1958-1959 New Zealand v. England,AMI Stadium,England won by an innings and 99 runs
353,14/03/1959,1958-1959 New Zealand v. England,Eden Park,Match Drawn
354,04/06/1959,1959 England v. India,Trent Bridge,England won by an innings and 59 runs
355,18/06/1959,1959 England v. India,Lord's,England won by 8 wickets
356,02/07/1959,1959 England v. India,Headingley,England won by an innings and 173 runs
357,23/07/1959,1959 England v. India,Old Trafford,England won by 171 runs
358,20/08/1959,1959 England v. India,Kennington Oval,England won by an innings and 27 runs
359,06/01/1960,1959-1960 West Indies v. England,Kensington Oval,Match Drawn
360,28/01/1960,1959-1960 West Indies v. England,Queen's Park Oval,England won by 256 runs
361,17/02/1960,1959-1960 West Indies v. England,Sabina Park,Match Drawn
362,09/03/1960,1959-1960 West Indies v. England,Bourda,Match Drawn
363,25/03/1960,1959-1960 West Indies v. England,Queen's Park Oval,Match Drawn
364,09/06/1960,1960 England v. South Africa,Edgbaston,England won by 100 runs
365,23/06/1960,1960 England v. South Africa,Lord's,England won by an innings and 73 runs
366,07/07/1960,1960 England v. South Africa,Trent Bridge,England won by 8 wickets
367,21/07/1960,1960 England v. South Africa,Old Trafford,Match Drawn
368,18/08/1960,1960 England v. South Africa,Kennington Oval,Match Drawn
369,08/06/1961,1961 England v. Australia,Edgbaston,Match Drawn
370,22/06/1961,1961 England v. Australia,Lord's,Australia won by 5 wickets
371,06/07/1961,1961 England v. Australia,Headingley,England won by 8 wickets
372,27/07/1961,1961 England v. Australia,Old Trafford,Australia won by 54 runs
373,17/08/1961,1961 England v. Australia,Kennington Oval,Match Drawn
374,21/10/1961,1961-1962 Pakistan v. England,Gaddafi Stadium,England won by 5 wickets
375,19/01/1962,1961-1962 Pakistan v. England,Bangabandhu National Stadium,Match Drawn
376,02/02/1962,1961-1962 Pakistan v. England,National Stadium (Karachi),Match Drawn
377,11/11/1961,1961-1962 India v. England,Brabourne Stadium,Match Drawn
378,01/12/1961,1961-1962 India v. England,Green Park,Match Drawn
379,13/12/1961,1961-1962 India v. England,Arun Jaitley Stadium,Match Drawn
380,30/12/1961,1961-1962 India v. England,Eden Gardens,India won by 187 runs
381,10/01/1962,1961-1962 India v. England,Nehru Stadium (Chennai),India won by 128 runs
382,31/05/1962,1962 England v. Pakistan,Edgbaston,England won by an innings and 24 runs
383,21/06/1962,1962 England v. Pakistan,Lord's,England won by 9 wickets
384,05/07/1962,1962 England v. Pakistan,Headingley,England won by an innings and 117 runs
385,26/07/1962,1962 England v. Pakistan,Trent Bridge,Match Drawn
386,16/08/1962,1962 England v. Pakistan,Kennington Oval,England won by 10 wickets
387,30/11/1962,1962-1963 Australia v. England,Brisbane Cricket Ground,Match Drawn
388,29/12/1962,1962-1963 Australia v. England,Melbourne Cricket Ground,England won by 7 wickets
389,11/01/1963,1962-1963 Australia v. England,Sydney Cricket Ground,Australia won by 8 wickets
390,25/01/1963,1962-1963 Australia v. England,Adelaide Oval,Match Drawn
391,15/02/1963,1962-1963 Australia v. England,Sydney Cricket Ground,Match Drawn
392,23/02/1963,1962-1963 New Zealand v. England,Eden Park,England won by an innings and 215 runs
393,01/03/1963,1962-1963 New Zealand v. England,Basin Reserve,England won by an innings and 47 runs
394,15/03/1963,1962-1963 New Zealand v. England,AMI Stadium,England won by 7 wickets
395,06/06/1963,1963 England v. West Indies,Old Trafford,West Indies won by 10 wickets
396,20/06/1963,1963 England v. West Indies,Lord's,Match Drawn
397,04/07/1963,1963 England v. West Indies,Edgbaston,England won by 217 runs
398,25/07/1963,1963 England v. West Indies,Headingley,West Indies won by 221 runs
399,22/08/1963,1963 England v. West Indies,Kennington Oval,West Indies won by 8 wickets
400,10/01/1964,1963-1964 India v. England,Nehru Stadium (Chennai),Match Drawn
401,21/01/1964,1963-1964 India v. England,Brabourne Stadium,Match Drawn
402,29/01/1964,1963-1964 India v. England,Eden Gardens,Match Drawn
403,08/02/1964,1963-1964 India v. England,Arun Jaitley Stadium,Match Drawn
404,15/02/1964,1963-1964 India v. England,Green Park,Match Drawn
405,04/06/1964,1964 England v. Australia,Trent Bridge,Match Drawn
406,18/06/1964,1964 England v. Australia,Lord's,Match Drawn
407,02/07/1964,1964 England v. Australia,Headingley,Australia won by 7 wickets
408,23/07/1964,1964 England v. Australia,Old Trafford,Match Drawn
409,13/08/1964,1964 England v. Australia,Kennington Oval,Match Drawn
410,04/12/1964,1964-1965 South Africa v. England,Kingsmead,England won by an innings and 104 runs
411,23/12/1964,1964-1965 South Africa v. England,Wanderers Stadium,Match Drawn
412,01/01/1965,1964-1965 South Africa v. England,Newlands,Match Drawn
413,22/01/1965,1964-1965 South Africa v. England,Wanderers Stadium,Match Drawn
414,12/02/1965,1964-1965 South Africa v. England,St George's Park,Match Drawn
415,27/05/1965,1965 England v. New Zealand,Edgbaston,England won by 9 wickets
416,17/06/1965,1965 England v. New Zealand,Lord's,England won by 7 wickets
417,08/07/1965,1965 England v. New Zealand,Headingley,England won by an innings and 187 runs
418,22/07/1965,1965 England v. South Africa,Lord's,Match Drawn
419,05/08/1965,1965 England v. South Africa,Trent Bridge,South Africa won by 94 runs
420,26/08/1965,1965 England v. South Africa,Kennington Oval,Match Drawn
421,10/12/1965,1965-1966 Australia v. England,Brisbane Cricket Ground,Match Drawn
422,30/12/1965,1965-1966 Australia v. England,Melbourne Cricket Ground,Match Drawn
423,07/01/1966,1965-1966 Australia v. England,Sydney Cricket Ground,England won by an innings and 93 runs
424,28/01/1966,1965-1966 Australia v. England,Adelaide Oval,Australia won by an innings and 9 runs
425,11/02/1966,1965-1966 Australia v. England,Melbourne Cricket Ground,Match Drawn
426,25/02/1966,1965-1966 New Zealand v. England,AMI Stadium,Match Drawn
427,04/03/1966,1965-1966 New Zealand v. England,Carisbrook,Match Drawn
428,11/03/1966,1965-1966 New Zealand v. England,Eden Park,Match Drawn
