Test Number,Date,Series,Ground,Result
618,21/02/1986,1985-1986 West Indies v. England,Sabina Park,West Indies won by 10 wickets
619,07/03/1986,1985-1986 West Indies v. England,Queen's Park Oval,West Indies won by 7 wickets
620,21/03/1986,1985-1986 West Indies v. England,Kensington Oval,West Indies won by an innings and 30 runs
621,03/04/1986,1985-1986 West Indies v. England,Queen's Park Oval,West Indies won by 10 wickets
622,11/04/1986,1985-1986 West Indies v. England,Antigua Recreation Ground,West Indies won by 240 runs
623,05/06/1986,1986 England v. India,Lord's,India won by 5 wickets
624,19/06/1986,1986 England v. India,Headingley,India won by 279 runs
625,03/07/1986,1986 England v. India,Edgbaston,Match Drawn
626,24/07/1986,1986 England v. New Zealand,Lord's,Match Drawn
627,07/08/1986,1986 England v. New Zealand,Trent Bridge,New Zealand won by 8 wickets
628,21/08/1986,1986 England v. New Zealand,Kennington Oval,Match Drawn
629,14/11/1986,1986-1987 Australia v. England,Brisbane Cricket Ground,England won by 7 wickets
630,28/11/1986,1986-1987 Australia v. England,WACA Ground,Match Drawn
631,12/12/1986,1986-1987 Australia v. England,Adelaide Oval,Match Drawn
632,26/12/1986,1986-1987 Australia v. England,Melbourne Cricket Ground,England won by an innings and 14 runs
633,10/01/1987,1986-1987 Australia v. England,Sydney Cricket Ground,Australia won by 55 runs
634,04/06/1987,1987 England v. Pakistan,Old Trafford,Match Drawn
635,18/06/1987,1987 England v. Pakistan,Lord's,Match Drawn
636,02/07/1987,1987 England v. Pakistan,Headingley,Pakistan won by an innings and 18 runs
637,23/07/1987,1987 England v. Pakistan,Edgbaston,Match Drawn
638,06/08/1987,1987 England v. Pakistan,Kennington Oval,Match Drawn
639,25/11/1987,1987-1988 Pakistan v. England,Gaddafi Stadium,Pakistan won by an innings and 87 runs
640,07/12/1987,1987-1988 Pakistan v. England,Iqbal Stadium,Match Drawn
641,16/12/1987,1987-1988 Pakistan v. England,National Stadium (Karachi),Match Drawn
642,29/01/1988,1987-1988 Australia v. England,Sydney Cricket Ground,Match Drawn
643,12/02/1988,1987-1988 New Zealand v. England,AMI Stadium,Match Drawn
644,25/02/1988,1987-1988 New Zealand v. England,Eden Park,Match Drawn
645,03/03/1988,1987-1988 New Zealand v. England,Basin Reserve,Match Drawn
646,02/06/1988,1988 England v. West Indies,Trent Bridge,Match Drawn
647,16/06/1988,1988 England v. West Indies,Lord's,West Indies won by 134 runs
648,30/06/1988,1988 England v. West Indies,Old Trafford,West Indies won by an innings and 156 runs
649,21/07/1988,1988 England v. West Indies,Headingley,West Indies won by 10 wickets
650,04/08/1988,1988 England v. West Indies,Kennington Oval,West Indies won by 8 wickets
651,25/08/1988,1988 England v. Sri Lanka,Lord's,England won by 7 wickets
652,08/06/1989,1989 England v. Australia,Headingley,Australia won by 210 runs
653,22/06/1989,1989 England v. Australia,Lord's,Australia won by 6 wickets
654,06/07/1989,1989 England v. Australia,Edgbaston,Match Drawn
655,27/07/1989,1989 England v. Australia,Old Trafford,Australia won by 9 wickets
656,10/08/1989,1989 England v. Australia,Trent Bridge,Australia won by an innings and 180 runs
657,24/08/1989,1989 England v. Australia,Kennington Oval,Match Drawn
658,24/02/1990,1989-1990 West Indies v. England,Sabina Park,England won by 9 wickets
659,23/03/1990,1989-1990 West Indies v. England,Queen's Park Oval,Match Drawn
660,05/04/1990,1989-1990 West Indies v. England,Kensington Oval,West Indies won by 164 runs
661,12/04/1990,1989-1990 West Indies v. England,Antigua Recreation Ground,West Indies won by an innings and 32 runs
662,07/06/1990,1990 England v. New Zealand,Trent Bridge,Match Drawn
663,21/06/1990,1990 England v. New Zealand,Lord's,Match Drawn
664,05/07/1990,1990 England v. New Zealand,Edgbaston,England won by 114 runs
665,26/07/1990,1990 England v. India,Lord's,England won by 247 runs
666,09/08/1990,1990 England v. India,Old Trafford,Match Drawn
667,23/08/1990,1990 England v. India,Kennington Oval,Match Drawn
668,23/11/1990,1990-1991 Australia v. England,Brisbane Cricket Ground,Australia won by 10 wickets
669,26/12/1990,1990-1991 Australia v. England,Melbourne Cricket Ground,Australia won by 8 wickets
670,04/01/1991,1990-1991 Australia v. England,Sydney Cricket Ground,Match Drawn
671,25/01/1991,1990-1991 Australia v. England,Adelaide Oval,Match Drawn
672,01/02/1991,1990-1991 Australia v. England,WACA Ground,Australia won by 9 wickets
673,06/06/1991,1991 England v. West Indies,Headingley,England won by 115 runs
674,20/06/1991,1991 England v. West Indies,Lord's,Match Drawn
675,04/07/1991,1991 England v. West Indies,Trent Bridge,West Indies won by 9 wickets
676,25/07/1991,1991 England v. West Indies,Edgbaston,West Indies won by 7 wickets
677,08/08/1991,1991 England v. West Indies,Kennington Oval,England won by 5 wickets
678,22/08/1991,1991 England v. Sri Lanka,Lord's,England won by 137 runs
679,18/01/1992,1991-1992 New Zealand v. England,AMI Stadium,England won by an innings and 4 runs
680,30/01/1992,1991-1992 New Zealand v. England,Eden Park,England won by 168 runs
681,06/02/1992,1991-1992 New Zealand v. England,Basin Reserve,Match Drawn
682,04/06/1992,1992 England v. Pakistan,Edgbaston,Match Drawn
683,18/06/1992,1992 England v. Pakistan,Lord's,Pakistan won by 2 wickets
684,02/07/1992,1992 England v. Pakistan,Old Trafford,Match Drawn
685,23/07/1992,1992 England v. Pakistan,Headingley,England won by 6 wickets
686,06/08/1992,1992 England v. Pakistan,Kennington Oval,Pakistan won by 10 wickets
687,29/01/1993,1992-1993 India v. England,Eden Gardens,India won by 8 wickets
688,11/02/1993,1992-1993 India v. England,MA Chidambaram Stadium,India won by an innings and 22 runs
689,19/02/1993,1992-1993 India v. England,Wankhede Stadium,India won by an innings and 15 runs
690,13/03/1993,1992-1993 Sri Lanka v. England,Sinhalese Sports Club Ground,Sri Lanka won by 5 wickets
691,03/06/1993,1993 England v. Australia,Old Trafford,Australia won by 179 runs
692,17/06/1993,1993 England v. Australia,Lord's,Australia won by an innings and 62 runs
693,01/07/1993,1993 England v. Australia,Trent Bridge,Match Drawn
694,22/07/1993,1993 England v. Australia,Headingley,Australia won by an innings and 148 runs
695,05/08/1993,1993 England v. Australia,Edgbaston,Australia won by 8 wickets
696,19/08/1993,1993 England v. Australia,Kennington Oval,England won by 161 runs
697,19/02/1994,1993-1994 West Indies v. England,Sabina Park,West Indies won by 8 wickets
698,17/03/1994,1993-1994 West Indies v. England,Bourda,West Indies won by an innings and 44 runs
699,25/03/1994,1993-1994 West Indies v. England,Queen's Park Oval,West Indies won by 147 runs
700,08/04/1994,1993-1994 West Indies v. England,Kensington Oval,England won by 208 runs
701,16/04/1994,1993-1994 West Indies v. England,Antigua Recreation Ground,Match Drawn
702,02/06/1994,1994 England v. New Zealand,Trent Bridge,England won by an innings and 90 runs
703,16/06/1994,1994 England v. New Zealand,Lord's,Match Drawn
704,30/06/1994,1994 England v. New Zealand,Old Trafford,Match Drawn
705,21/07/1994,1994 England v. South Africa,Lord's,South Africa won by 356 runs
706,04/08/1994,1994 England v. South Africa,Headingley,Match Drawn
707,18/08/1994,1994 England v. South Africa,Kennington Oval,England won by 8 wickets
708,25/11/1994,1994-1995 Australia v. England,Brisbane Cricket Ground,Australia won by 184 runs
709,24/12/1994,1994-1995 Australia v. England,Melbourne Cricket Ground,Australia won by 295 runs
710,01/01/1995,1994-1995 Australia v. England,Sydney Cricket Ground,Match Drawn
711,26/01/1995,1994-1995 Australia v. England,Adelaide Oval,England won by 106 runs
712,03/02/1995,1994-1995 Australia v. England,WACA Ground,Australia won by 329 runs
713,08/06/1995,1995 England v. West Indies,Headingley,West Indies won by 9 wickets
714,22/06/1995,1995 England v. West Indies,Lord's,England won by 72 runs
715,06/07/1995,1995 England v. West Indies,Edgbaston,West Indies won by an innings and 64 runs
716,27/07/1995,1995 England v. West Indies,Old Trafford,England won by 6 wickets
717,10/08/1995,1995 England v. West Indies,Trent Bridge,Match Drawn
718,24/08/1995,1995 England v. West Indies,Kennington Oval,Match Drawn
719,16/11/1995,1995-1996 South Africa v. England,SuperSport Park,Match Drawn
720,30/11/1995,1995-1996 South Africa v. England,Wanderers Stadium,Match Drawn
721,14/12/1995,1995-1996 South Africa v. England,Kingsmead,Match Drawn
722,26/12/1995,1995-1996 South Africa v. England,St George's Park,Match Drawn
723,02/01/1996,1995-1996 South Africa v. England,Newlands,South Africa won by 10 wickets
724,06/06/1996,1996 England v. India,Edgbaston,England won by 8 wickets
725,20/06/1996,1996 England v. India,Lord's,Match Drawn
726,04/07/1996,1996 England v. India,Trent Bridge,Match Drawn
727,25/07/1996,1996 England v. Pakistan,Lord's,Pakistan won by 164 runs
728,08/08/1996,1996 England v. Pakistan,Headingley,Match Drawn
729,22/08/1996,1996 England v. Pakistan,Kennington Oval,Pakistan won by 9 wickets
730,18/12/1996,1996-1997 Zimbabwe v. England,Queens Sports Club,Match Drawn
731,26/12/1996,1996-1997 Zimbabwe v. England,Harare Sports Club,Match Drawn
732,24/01/1997,1996-1997 New Zealand v. England,Eden Park,Match Drawn
733,06/02/1997,1996-1997 New Zealand v. England,Basin Reserve,England won by an innings and 68 runs
734,14/02/1997,1996-1997 New Zealand v. England,AMI Stadium,England won by 4 wickets
735,05/06/1997,1997 England v. Australia,Edgbaston,England won by 9 wickets
736,19/06/1997,1997 England v. Australia,Lord's,Match Drawn
737,03/07/1997,1997 England v. Australia,Old Trafford,Australia won by 268 runs
738,24/07/1997,1997 England v. Australia,Headingley,Australia won by an innings and 61 runs
739,07/08/1997,1997 England v. Australia,Trent Bridge,Australia won by 264 runs
740,21/08/1997,1997 England v. Australia,Kennington Oval,England won by 19 runs
741,29/01/1998,1997-1998 West Indies v. England,Sabina Park,Match Drawn
742,05/02/1998,1997-1998 West Indies v. England,Queen's Park Oval,West Indies won by 3 wickets
743,13/02/1998,1997-1998 West Indies v. England,Queen's Park Oval,England won by 3 wickets
744,27/02/1998,1997-1998 West Indies v. England,Bourda,West Indies won by 242 runs
745,12/03/1998,1997-1998 West Indies v. England,Kensington Oval,Match Drawn
746,21/03/1998,1997-1998 West Indies v. England,Antigua Recreation Ground,West Indies won by an innings and 52 runs
747,04/06/1998,1998 England v. South Africa,Edgbaston,Match Drawn
748,18/06/1998,1998 England v. South Africa,Lord's,South Africa won by 10 wickets
749,02/07/1998,1998 England v. South Africa,Old Trafford,Match Drawn
750,23/07/1998,1998 England v. South Africa,Trent Bridge,England won by 8 wickets
751,06/08/1998,1998 England v. South Africa,Headingley,England won by 23 runs
752,27/08/1998,1998 England v. Sri Lanka,Kennington Oval,Sri Lanka won by 10 wickets
753,20/11/1998,1998-1999 Australia v. England,Brisbane Cricket Ground,Match Drawn
754,28/11/1998,1998-1999 Australia v. England,WACA Ground,Australia won by 7 wickets
755,11/12/1998,1998-1999 Australia v. England,Adelaide Oval,Australia won by 205 runs
756,26/12/1998,1998-1999 Australia v. England,Melbourne Cricket Ground,England won by 12 runs
757,02/01/1999,1998-1999 Australia v. England,Sydney Cricket Ground,Australia won by 98 runs
758,01/07/1999,1999 England v. New Zealand,Edgbaston,England won by 7 wickets
759,22/07/1999,1999 England v. New Zealand,Lord's,New Zealand won by 9 wickets
760,05/08/1999,1999 England v. New Zealand,Old Trafford,Match Drawn
761,19/08/1999,1999 England v. New Zealand,Kennington Oval,New Zealand won by 83 runs
762,25/11/1999,1999-2000 South Africa v. England,Wanderers Stadium,South Africa won by an innings and 21 runs
763,09/12/1999,1999-2000 South Africa v. England,St George's Park,Match Drawn
764,26/12/1999,1999-2000 South Africa v. England,Kingsmead,Match Drawn
765,02/01/2000,1999-2000 South Africa v. England,Newlands,South Africa won by an innings and 37 runs
766,14/01/2000,1999-2000 South Africa v. England,SuperSport Park,England won by 2 wickets
767,18/05/2000,2000 England v. Zimbabwe,Lord's,England won by an innings and 209 runs
768,01/06/2000,2000 England v. Zimbabwe,Trent Bridge,Match Drawn
769,15/06/2000,2000 England v. West Indies,Edgbaston,West Indies won by an innings and 93 runs
770,29/06/2000,2000 England v. West Indies,Lord's,England won by 2 wickets
771,03/08/2000,2000 England v. West Indies,Old Trafford,Match Drawn
772,17/08/2000,2000 England v. West Indies,Headingley,England won by an innings and 39 runs
773,31/08/2000,2000 England v. West Indies,Kennington Oval,England won by 158 runs
774,15/11/2000,2000-2001 Pakistan v. England,Gaddafi Stadium,Match Drawn
775,29/11/2000,2000-2001 Pakistan v. England,Iqbal Stadium,Match Drawn
776,07/12/2000,2000-2001 Pakistan v. England,National Stadium (Karachi),England won by 6 wickets
777,22/02/2001,2000-2001 Sri Lanka v. England,Galle International Stadium,Sri Lanka won by an innings and 28 runs
778,07/03/2001,2000-2001 Sri Lanka v. England,Asgiriya Stadium,England won by 3 wickets
779,15/03/2001,2000-2001 Sri Lanka v. England,Sinhalese Sports Club Ground,England won by 4 wickets
780,17/05/2001,2001 England v. Pakistan,Lord's,England won by an innings and 9 runs
781,31/05/2001,2001 England v. Pakistan,Old Trafford,Pakistan won by 108 runs
782,05/07/2001,2001 England v. Australia,Edgbaston,Australia won by an innings and 118 runs
783,19/07/2001,2001 England v. Australia,Lord's,Australia won by 8 wickets
784,02/08/2001,2001 England v. Australia,Trent Bridge,Australia won by 7 wickets
785,16/08/2001,2001 England v. Australia,Headingley,England won by 6 wickets
786,23/08/2001,2001 England v. Australia,Kennington Oval,Australia won by an innings and 25 runs
787,03/12/2001,2001-2002 India v. England,Punjab Cricket Association IS Bindra Stadium,India won by 10 wickets
788,11/12/2001,2001-2002 India v. England,Narendra Modi Stadium,Match Drawn
789,19/12/2001,2001-2002 India v. England,M Chinnaswamy Stadium,Match Drawn
790,13/03/2002,2001-2002 New Zealand v. England,AMI Stadium,England won by 98 runs
791,21/03/2002,2001-2002 New Zealand v. England,Basin Reserve,Match Drawn
792,30/03/2002,2001-2002 New Zealand v. England,Eden Park,New Zealand won by 78 runs
793,16/05/2002,2002 England v. Sri Lanka,Lord's,Match Drawn
794,30/05/2002,2002 England v. Sri Lanka,Edgbaston,England won by an innings and 111 runs
795,13/06/2002,2002 England v. Sri Lanka,Old Trafford,England won by 10 wickets
796,25/07/2002,2002 England v. India,Lord's,England won by 170 runs
797,08/08/2002,2002 England v. India,Trent Bridge,Match Drawn
798,22/08/2002,2002 England v. India,Headingley,India won by an innings and 46 runs
799,05/09/2002,2002 England v. India,Kennington Oval,Match Drawn
800,07/11/2002,2002-2003 Australia v. England,Brisbane Cricket Ground,Australia won by 384 runs
801,21/11/2002,2002-2003 Australia v. England,Adelaide Oval,Australia won by an innings and 51 runs
802,29/11/2002,2002-2003 Australia v. England,WACA Ground,Australia won by an innings and 48 runs
803,26/12/2002,2002-2003 Australia v. England,Melbourne Cricket Ground,Australia won by 5 wickets
804,02/01/2003,2002-2003 Australia v. England,Sydney Cricket Ground,England won by 225 runs
805,22/05/2003,2003 England v. Zimbabwe,Lord's,England won by an innings and 92 runs
806,05/06/2003,2003 England v. Zimbabwe,Riverside Ground,England won by an innings and 69 runs
807,24/07/2003,2003 England v. South Africa,Edgbaston,Match Drawn
808,31/07/2003,2003 England v. South Africa,Lord's,South Africa won by an innings and 92 runs
809,14/08/2003,2003 England v. South Africa,Trent Bridge,England won by 70 runs
810,21/08/2003,2003 England v. South Africa,Headingley,South Africa won by 191 runs
811,04/09/2003,2003 England v. South Africa,Kennington Oval,England won by 9 wickets
812,21/10/2003,2003-2004 Bangladesh v. England,Bangabandhu National Stadium,England won by 7 wickets
813,29/10/2003,2003-2004 Bangladesh v. England,MA Aziz Stadium,England won by 329 runs
814,02/12/2003,2003-2004 Sri Lanka v. England,Galle International Stadium,Match Drawn
815,10/12/2003,2003-2004 Sri Lanka v. England,Asgiriya Stadium,Match Drawn
816,18/12/2003,2003-2004 Sri Lanka v. England,Sinhalese Sports Club Ground,Sri Lanka won by an innings and 215 runs
817,11/03/2004,2003-2004 West Indies v. England,Sabina Park,England won by 10 wickets
818,19/03/2004,2003-2004 West Indies v. England,Queen's Park Oval,England won by 7 wickets
819,01/04/2004,2003-2004 West Indies v. England,Kensington Oval,England won by 8 wickets
820,10/04/2004,2003-2004 West Indies v. England,Antigua Recreation Ground,Match Drawn
821,20/05/2004,2004 England v. New Zealand,Lord's,England won by 7 wickets
822,03/06/2004,2004 England v. New Zealand,Headingley,England won by 9 wickets
823,10/06/2004,2004 England v. New Zealand,Trent Bridge,England won by 4 wickets
824,22/07/2004,2004 England v. West Indies,Lord's,England won by 210 runs
825,29/07/2004,2004 England v. West Indies,Edgbaston,England won by 256 runs
826,12/08/2004,2004 England v. West Indies,Old Trafford,England won by 7 wickets
827,19/08/2004,2004 England v. West Indies,Kennington Oval,England won by 10 wickets
828,17/12/2004,2004-2005 South Africa v. England,St George's Park,England won by 7 wickets
829,26/12/2004,2004-2005 South Africa v. England,Kingsmead,Match Drawn
830,02/01/2005,2004-2005 South Africa v. England,Newlands,South Africa won by 196 runs
831,13/01/2005,2004-2005 South Africa v. England,Wanderers Stadium,England won by 77 runs
832,21/01/2005,2004-2005 South Africa v. England,SuperSport Park,Match Drawn
833,26/05/2005,2005 England v. Bangladesh,Lord's,England won by an innings and 261 runs
834,03/06/2005,2005 England v. Bangladesh,Riverside Ground,England won by an innings and 27 runs
835,21/07/2005,2005 England v. Australia,Lord's,Australia won by 239 runs
836,04/08/2005,2005 England v. Australia,Edgbaston,England won by 2 runs
837,11/08/2005,2005 England v. Australia,Old Trafford,Match Drawn
838,25/08/2005,2005 England v. Australia,Trent Bridge,England won by 3 wickets
839,08/09/2005,2005 England v. Australia,Kennington Oval,Match Drawn
840,12/11/2005,2005-2006 Pakistan v. England,Multan Cricket Stadium,Pakistan won by 22 runs
841,20/11/2005,2005-2006 Pakistan v. England,Iqbal Stadium,Match Drawn
842,29/11/2005,2005-2006 Pakistan v. England,Gaddafi Stadium,Pakistan won by an innings and 100 runs
843,01/03/2006,2005-2006 India v. England,Vidarbha Cricket Association Ground,Match Drawn
844,09/03/2006,2005-2006 India v. England,Punjab Cricket Association IS Bindra Stadium,India won by 9 wickets
845,18/03/2006,2005-2006 India v. England,Wankhede Stadium,England won by 212 runs
846,11/05/2006,2006 England v. Sri Lanka,Lord's,Match Drawn
847,25/05/2006,2006 England v. Sri Lanka,Edgbaston,England won by 6 wickets
848,02/06/2006,2006 England v. Sri Lanka,Trent Bridge,Sri Lanka won by 134 runs
849,13/07/2006,2006 England v. Pakistan,Lord's,Match Drawn
850,27/07/2006,2006 England v. Pakistan,Old Trafford,England won by an innings and 120 runs
851,04/08/2006,2006 England v. Pakistan,Headingley,England won by 167 runs
852,17/08/2006,2006 England v. Pakistan,Kennington Oval,England won after pakistan refused to take the field
853,23/11/2006,2006-2007 Australia v. England,Brisbane Cricket Ground,Australia won by 277 runs
854,01/12/2006,2006-2007 Australia v. England,Adelaide Oval,Australia won by 6 wickets
855,14/12/2006,2006-2007 Australia v. England,WACA Ground,Australia won by 206 runs
856,26/12/2006,2006-2007 Australia v. England,Melbourne Cricket Ground,Australia won by an innings and 99 runs
857,02/01/2007,2006-2007 Australia v. England,Sydney Cricket Ground,Australia won by 10 wickets
858,17/05/2007,2007 England v. West Indies,Lord's,Match Drawn
859,25/05/2007,2007 England v. West Indies,Headingley,England won by an innings and 283 runs
860,07/06/2007,2007 England v. West Indies,Old Trafford,England won by 60 runs
861,15/06/2007,2007 England v. West Indies,Riverside Ground,England won by 7 wickets
862,19/07/2007,2007 England v. India,Lord's,Match Drawn
863,27/07/2007,2007 England v. India,Trent Bridge,India won by 7 wickets
864,09/08/2007,2007 England v. India,Kennington Oval,Match Drawn
865,01/12/2007,2007-2008 Sri Lanka v. England,Asgiriya Stadium,Sri Lanka won by 88 runs
866,09/12/2007,2007-2008 Sri Lanka v. England,Sinhalese Sports Club Ground,Match Drawn
867,18/12/2007,2007-2008 Sri Lanka v. England,Galle International Stadium,Match Drawn
868,05/03/2008,2007-2008 New Zealand v. England,Seddon Park,New Zealand won by 189 runs
869,13/03/2008,2007-2008 New Zealand v. England,Basin Reserve,England won by 126 runs
870,22/03/2008,2007-2008 New Zealand v. England,McLean Park,England won by 121 runs
871,15/05/2008,2008 England v. New Zealand,Lord's,Match Drawn
872,23/05/2008,2008 England v. New Zealand,Old Trafford,England won by 6 wickets
873,05/06/2008,2008 England v. New Zealand,Trent Bridge,England won by an innings and 9 runs
874,10/07/2008,2008 England v. South Africa,Lord's,Match Drawn
875,18/07/2008,2008 England v. South Africa,Headingley,South Africa won by 10 wickets
876,30/07/2008,2008 England v. South Africa,Edgbaston,South Africa won by 5 wickets
877,07/08/2008,2008 England v. South Africa,Kennington Oval,England won by 6 wickets
878,11/12/2008,2008-2009 India v. England,MA Chidambaram Stadium,India won by 6 wickets
879,19/12/2008,2008-2009 India v. England,Punjab Cricket Association IS Bindra Stadium,Match Drawn
880,04/02/2009,2008-2009 West Indies v. England,Sabina Park,West Indies won by an innings and 23 runs
881,13/02/2009,2008-2009 West Indies v. England,Sir Vivian Richards Stadium,Match Drawn
882,15/02/2009,2008-2009 West Indies v. England,Antigua Recreation Ground,Match Drawn
883,26/02/2009,2008-2009 West Indies v. England,Kensington Oval,Match Drawn
884,06/03/2009,2008-2009 West Indies v. England,Queen's Park Oval,Match Drawn
885,06/05/2009,2009 England v. West Indies,Lord's,England won by 10 wickets
886,14/05/2009,2009 England v. West Indies,Riverside Ground,England won by an innings and 83 runs
887,08/07/2009,2009 England v. Australia,Sophia Gardens,Match Drawn
888,16/07/2009,2009 England v. Australia,Lord's,England won by 115 runs
889,30/07/2009,2009 England v. Australia,Edgbaston,Match Drawn
890,07/08/2009,2009 England v. Australia,Headingley,Australia won by an innings and 80 runs
891,19/08/2009,2009 England v. Australia,Kennington Oval,England won by 197 runs
892,16/12/2009,2009-2010 South Africa v. England,SuperSport Park,Match Drawn
893,26/12/2009,2009-2010 South Africa v. England,Kingsmead,England won by an innings and 98 runs
894,03/01/2010,2009-2010 South Africa v. England,Newlands,Match Drawn
895,14/01/2010,2009-2010 South Africa v. England,Wanderers Stadium,South Africa won by an innings and 74 runs
896,12/03/2010,2009-2010 Bangladesh v. England,Zahur Ahmed Chowdhury Stadium,England won by 181 runs
897,20/03/2010,2009-2010 Bangladesh v. England,Shere Bangla National Stadium,England won by 9 wickets
898,27/05/2010,2010 England v. Bangladesh,Lord's,England won by 8 wickets
899,04/06/2010,2010 England v. Bangladesh,Old Trafford,England won by an innings and 80 runs
900,29/07/2010,2010 England v. Pakistan,Trent Bridge,England won by 354 runs
901,06/08/2010,2010 England v. Pakistan,Edgbaston,England won by 9 wickets
902,18/08/2010,2010 England v. Pakistan,Kennington Oval,Pakistan won by 4 wickets
903,26/08/2010,2010 England v. Pakistan,Lord's,England won by an innings and 225 runs
904,25/11/2010,2010-2011 Australia v. England,Brisbane Cricket Ground,Match Drawn
905,03/12/2010,2010-2011 Australia v. England,Adelaide Oval,England won by an innings and 71 runs
906,16/12/2010,2010-2011 Australia v. England,WACA Ground,Australia won by 267 runs
907,26/12/2010,2010-2011 Australia v. England,Melbourne Cricket Ground,England won by an innings and 157 runs
908,03/01/2011,2010-2011 Australia v. England,Sydney Cricket Ground,England won by an innings and 83 runs
909,26/05/2011,2011 England v. Sri Lanka,Sophia Gardens,England won by an innings and 14 runs
910,03/06/2011,2011 England v. Sri Lanka,Lord's,Match Drawn
911,16/06/2011,2011 England v. Sri Lanka,The Rose Bowl,Match Drawn
912,21/07/2011,2011 England v. India,Lord's,England won by 196 runs
913,29/07/2011,2011 England v. India,Trent Bridge,England won by 319 runs
914,10/08/2011,2011 England v. India,Edgbaston,England won by an innings and 242 runs
915,18/08/2011,2011 England v. India,Kennington Oval,England won by an innings and 8 runs
916,17/01/2012,2011-2012 Pakistan v. England,Dubai International Cricket Stadium,Pakistan won by 10 wickets
917,25/01/2012,2011-2012 Pakistan v. England,Sheikh Zayed Stadium,Pakistan won by 72 runs
918,03/02/2012,2011-2012 Pakistan v. England,Dubai International Cricket Stadium,Pakistan won by 71 runs
919,26/03/2012,2011-2012 Sri Lanka v. England,Galle International Stadium,Sri Lanka won by 75 runs
920,03/04/2012,2011-2012 Sri Lanka v. England,P Sara Oval,England won by 8 wickets
921,17/05/2012,2012 England v. West Indies,Lord's,England won by 5 wickets
922,25/05/2012,2012 England v. West Indies,Trent Bridge,England won by 9 wickets
923,07/06/2012,2012 England v. West Indies,Edgbaston,Match Drawn
924,19/07/2012,2012 England v. South Africa,Kennington Oval,South Africa won by an innings and 12 runs
925,02/08/2012,2012 England v. South Africa,Headingley,Match Drawn
926,16/08/2012,2012 England v. South Africa,Lord's,South Africa won by 51 runs
927,15/11/2012,2012-2013 India v. England,Narendra Modi Stadium,India won by 9 wickets
928,23/11/2012,2012-2013 India v. England,Wankhede Stadium,England won by 10 wickets
929,05/12/2012,2012-2013 India v. England,Eden Gardens,England won by 7 wickets
930,13/12/2012,2012-2013 India v. England,Vidarbha Cricket Association Stadium,Match Drawn
931,06/03/2013,2012-2013 New Zealand v. England,University Oval,Match Drawn
932,14/03/2013,2012-2013 New Zealand v. England,Basin Reserve,Match Drawn
933,22/03/2013,2012-2013 New Zealand v. England,Eden Park,Match Drawn
934,16/05/2013,2013 England v. New Zealand,Lord's,England won by 170 runs
935,24/05/2013,2013 England v. New Zealand,Headingley,England won by 247 runs
936,10/07/2013,2013 England v. Australia,Trent Bridge,England won by 14 runs
937,18/07/2013,2013 England v. Australia,Lord's,England won by 347 runs
938,01/08/2013,2013 England v. Australia,Old Trafford,Match Drawn
939,09/08/2013,2013 England v. Australia,Riverside Ground,England won by 74 runs
940,21/08/2013,2013 England v. Australia,Kennington Oval,Match Drawn
941,21/11/2013,2013-2014 Australia v. England,Brisbane Cricket Ground,Australia won by 381 runs
942,04/12/2013,2013-2014 Australia v. England,Adelaide Oval,Australia won by 218 runs
943,13/12/2013,2013-2014 Australia v. England,WACA Ground,Australia won by 150 runs
944,26/12/2013,2013-2014 Australia v. England,Melbourne Cricket Ground,Australia won by 8 wickets
945,03/01/2014,2013-2014 Australia v. England,Sydney Cricket Ground,Australia won by 281 runs
946,12/06/2014,2014 England v. Sri Lanka,Lord's,Match Drawn
947,20/06/2014,2014 England v. Sri Lanka,Headingley,Sri Lanka won by 100 runs
948,09/07/2014,2014 England v. India,Trent Bridge,Match Drawn
949,17/07/2014,2014 England v. India,Lord's,India won by 95 runs
950,27/07/2014,2014 England v. India,The Rose Bowl,England won by 266 runs
951,07/08/2014,2014 England v. India,Old Trafford,England won by an innings and 54 runs
952,15/08/2014,2014 England v. India,Kennington Oval,England won by an innings and 244 runs
953,13/04/2015,2014-2015 West Indies v. England,Sir Vivian Richards Stadium,Match Drawn
954,21/04/2015,2014-2015 West Indies v. England,National Cricket Stadium (Grenada),England won by 9 wickets
955,01/05/2015,2014-2015 West Indies v. England,Kensington Oval,West Indies won by 5 wickets
956,21/05/2015,2015 England v. New Zealand,Lord's,England won by 124 runs
957,29/05/2015,2015 England v. New Zealand,Headingley,New Zealand won by 199 runs
958,08/07/2015,2015 England v. Australia,Sophia Gardens,England won by 169 runs
959,16/07/2015,2015 England v. Australia,Lord's,Australia won by 405 runs
960,29/07/2015,2015 England v. Australia,Edgbaston,England won by 8 wickets
961,06/08/2015,2015 England v. Australia,Trent Bridge,England won by an innings and 78 runs
962,20/08/2015,2015 England v. Australia,Kennington Oval,Australia won by an innings and 46 runs
963,13/10/2015,2015-2016 Pakistan v. England,Sheikh Zayed Stadium,Match Drawn
964,22/10/2015,2015-2016 Pakistan v. England,Dubai International Cricket Stadium,Pakistan won by 178 runs
965,01/11/2015,2015-2016 Pakistan v. England,Sharjah Cricket Stadium,Pakistan won by 127 runs
966,26/12/2015,2015-2016 South Africa v. England,Kingsmead,England won by 241 runs
967,02/01/2016,2015-2016 South Africa v. England,Newlands,Match Drawn
968,14/01/2016,2015-2016 South Africa v. England,Wanderers Stadium,England won by 7 wickets
